Artist_Name,TotalSales,Track_Name,Media_Type,Country,Date
Heroes,1.99,Better Halves,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Heroes,1.99,Company Man,Protected MPEG-4 video file,USA,05/08/2012 00:00
Heroes,1.99,Distractions,Protected MPEG-4 video file,Germany,23/04/2011 00:00
Heroes,1.99,Genesis,Protected MPEG-4 video file,Germany,23/04/2011 00:00
Heroes,1.99,How to Stop an Exploding Man,Protected MPEG-4 video file,France,06/06/2011 00:00
Heroes,1.99,How to Stop an Exploding Man,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
Heroes,1.99,Nothing to Hide,Protected MPEG-4 video file,Germany,23/04/2011 00:00
Heroes,1.99,One Giant Leap,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Heroes,1.99,Parasite,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Heroes,1.99,Seven Minutes to Midnight,Protected MPEG-4 video file,USA,05/08/2012 00:00
Heroes,1.99,The Fix,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Heroes,1.99,The Fix,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Heroes,1.99,The Hard Part,Protected MPEG-4 video file,Czech Republic,05/09/2012 00:00
Lost,1.99,"""?""",Protected MPEG-4 video file,USA,05/08/2012 00:00
Lost,1.99,...And Found,Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,Adrift,Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,Born to Run,Protected MPEG-4 video file,Austria,18/01/2010 00:00
Lost,1.99,Catch-22,Protected MPEG-4 video file,USA,05/08/2012 00:00
Lost,1.99,Dave,Protected MPEG-4 video file,Austria,18/01/2010 00:00
Lost,1.99,Deus Ex Machina,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Lost,1.99,Enter 77,Protected MPEG-4 video file,USA,05/08/2012 00:00
Lost,1.99,Exodus (Part 2) [Season Finale],Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,Exposé,Protected MPEG-4 video file,USA,05/08/2012 00:00
Lost,1.99,Fire + Water,Protected MPEG-4 video file,Austria,18/01/2010 00:00
Lost,1.99,Homecoming,Protected MPEG-4 video file,Austria,18/01/2010 00:00
Lost,1.99,House of the Rising Sun,Protected MPEG-4 video file,USA,05/08/2012 00:00
Lost,1.99,I Do,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Lost,1.99,Ji Yeon,Protected MPEG-4 video file,France,06/10/2012 00:00
Lost,1.99,"Live Together, Die Alone, Pt. 1",Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Lost,1.99,Lost Survival Guide,Protected MPEG-4 video file,USA,05/08/2012 00:00
Lost,1.99,"Man of Science, Man of Faith (Premiere)",Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Lost,1.99,Meet Kevin Johnson,Protected MPEG-4 video file,USA,21/03/2010 00:00
Lost,1.99,Orientation,Protected MPEG-4 video file,USA,05/08/2012 00:00
Lost,1.99,Outlaws,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Lost,1.99,Par Avion,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Lost,1.99,"Past, Present, and Future",Protected MPEG-4 video file,France,06/10/2012 00:00
Lost,1.99,S.O.S.,Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,Solitary,Protected MPEG-4 video file,Austria,18/01/2010 00:00
Lost,1.99,Something Nice Back Home,Protected MPEG-4 video file,Norway,29/06/2011 00:00
Lost,1.99,Stranger In a Strange Land,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Lost,1.99,The 23rd Psalm,Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,The Beginning of the End,Protected MPEG-4 video file,Canada,16/03/2010 00:00
Lost,1.99,The Economist,Protected MPEG-4 video file,Norway,29/06/2011 00:00
Lost,1.99,The Glass Ballerina,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Lost,1.99,The Long Con,Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,The Man Behind the Curtain,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
Lost,1.99,The Moth,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
Lost,1.99,The Other 48 Days,Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,The Whole Truth,Protected MPEG-4 video file,Ireland,28/04/2011 00:00
Lost,1.99,"There's No Place Like Home, Pt. 3",Protected MPEG-4 video file,France,06/10/2012 00:00
Lost,1.99,Through a Looking Glass,Protected MPEG-4 video file,France,19/06/2011 00:00
Lost,1.99,"Through the Looking Glass, Pt. 1",Protected MPEG-4 video file,Canada,11/03/2010 00:00
Lost,1.99,Walkabout,Protected MPEG-4 video file,Chile,13/01/2010 00:00
Lost,1.99,Walkabout,Protected MPEG-4 video file,Czech Republic,13/11/2013 00:00
The Office,1.99,"A Benihana Christmas, Pts. 1 & 2",Protected MPEG-4 video file,USA,29/05/2011 00:00
The Office,1.99,Back from Vacation,Protected MPEG-4 video file,USA,27/09/2012 00:00
The Office,1.99,Christmas Party,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
The Office,1.99,Diversity Day,Protected MPEG-4 video file,USA,29/05/2011 00:00
The Office,1.99,Diwali,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
The Office,1.99,Email Surveillance,Protected MPEG-4 video file,Czech Republic,05/09/2012 00:00
The Office,1.99,Halloween,Protected MPEG-4 video file,USA,29/05/2011 00:00
The Office,1.99,Hot Girl,Protected MPEG-4 video file,Czech Republic,05/09/2012 00:00
The Office,1.99,Hot Girl,Protected MPEG-4 video file,India,22/12/2013 00:00
The Office,1.99,Michael's Birthday,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
The Office,1.99,Phyllis's Wedding,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
The Office,1.99,Phyllis's Wedding,Protected MPEG-4 video file,USA,27/09/2012 00:00
The Office,1.99,Producer's Cut: The Return,Protected MPEG-4 video file,USA,27/09/2012 00:00
The Office,1.99,Safety Training,Protected MPEG-4 video file,USA,28/09/2012 00:00
The Office,1.99,The Carpet,Protected MPEG-4 video file,USA,29/05/2011 00:00
The Office,1.99,The Convention,Protected MPEG-4 video file,USA,26/09/2012 00:00
The Office,1.99,The Convict,Protected MPEG-4 video file,USA,27/09/2012 00:00
The Office,1.99,The Coup,Protected MPEG-4 video file,USA,26/09/2012 00:00
The Office,1.99,The Dundies,Protected MPEG-4 video file,Hungary,18/02/2010 00:00
The Office,1.99,The Initiation,Protected MPEG-4 video file,USA,26/09/2012 00:00
The Office,1.99,The Job,Protected MPEG-4 video file,USA,28/09/2012 00:00
Amy Winehouse,1.98,Rehab,Protected AAC audio file,USA,21/03/2010 00:00
Caetano Veloso,1.98,Meditação,MPEG audio file,USA,11/01/2009 00:00
Cidade Negra,1.98,Firmamento,MPEG audio file,United Kingdom,06/02/2009 00:00
Cidade Negra,1.98,Onde Você Mora?,MPEG audio file,Canada,17/05/2010 00:00
Iron Maiden,1.98,The Number Of The Beast,MPEG audio file,Germany,15/06/2009 00:00
Judas Priest,1.98,Turbo Lover,MPEG audio file,Canada,16/07/2009 00:00
Kiss,1.98,Plaster Caster,MPEG audio file,Canada,16/07/2009 00:00
Nirvana,1.98,Polly,MPEG audio file,Sweden,03/04/2012 00:00
The Clash,1.98,Train In Vain,MPEG audio file,USA,13/12/2009 00:00
The Cult,1.98,Speed Of Light,MPEG audio file,USA,13/12/2009 00:00
The Cult,1.98,Sun King,MPEG audio file,USA,13/12/2009 00:00
Tim Maia,1.98,Música No Ar,MPEG audio file,USA,18/12/2009 00:00
U2,1.98,Peace On Earth,MPEG audio file,USA,05/08/2012 00:00
Van Halen,1.98,Eruption,MPEG audio file,Finland,14/12/2013 00:00
Van Halen,1.98,Eruption,MPEG audio file,Germany,13/02/2010 00:00
AC/DC,0.99,Breaking The Rules,MPEG audio file,Norway,02/01/2009 00:00
AC/DC,0.99,Dog Eat Dog,MPEG audio file,Belgium,03/01/2009 00:00
AC/DC,0.99,Evil Walks,MPEG audio file,Norway,02/01/2009 00:00
AC/DC,0.99,For Those About To Rock (We Salute You),MPEG audio file,Italy,13/04/2010 00:00
AC/DC,0.99,Go Down,MPEG audio file,Brazil,01/11/2012 00:00
AC/DC,0.99,Hell Ain't A Bad Place To Be,MPEG audio file,Brazil,01/11/2012 00:00
AC/DC,0.99,Inject The Venom,MPEG audio file,Canada,25/07/2011 00:00
AC/DC,0.99,Inject The Venom,MPEG audio file,Norway,02/01/2009 00:00
AC/DC,0.99,Night Of The Long Knives,MPEG audio file,Italy,13/04/2010 00:00
AC/DC,0.99,Overdose,MPEG audio file,Belgium,03/01/2009 00:00
AC/DC,0.99,Overdose,MPEG audio file,Canada,25/07/2011 00:00
AC/DC,0.99,Problem Child,MPEG audio file,United Kingdom,16/04/2010 00:00
AC/DC,0.99,Put The Finger On You,MPEG audio file,Norway,02/01/2009 00:00
AC/DC,0.99,Snowballed,MPEG audio file,Brazil,01/11/2012 00:00
AC/DC,0.99,Snowballed,MPEG audio file,Italy,13/04/2010 00:00
AC/DC,0.99,Spellbound,MPEG audio file,Canada,25/07/2011 00:00
Academy of St. Martin in the Fields & Sir Neville Marriner,0.99,Fantasia On Greensleeves,Protected AAC audio file,Brazil,27/10/2012 00:00
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",0.99,"Requiem, Op.48: 4. Pie Jesu",Protected AAC audio file,USA,21/03/2010 00:00
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",0.99,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",Protected AAC audio file,Brazil,01/11/2012 00:00
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",0.99,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",Protected AAC audio file,France,11/04/2010 00:00
Accept,0.99,Balls to the Wall,Protected AAC audio file,Canada,25/07/2011 00:00
Accept,0.99,Balls to the Wall,Protected AAC audio file,Germany,01/01/2009 00:00
Accept,0.99,Fast As a Shark,Protected AAC audio file,Brazil,01/11/2012 00:00
Accept,0.99,Princess of the Dawn,Protected AAC audio file,Italy,13/04/2010 00:00
Accept,0.99,Restless and Wild,Protected AAC audio file,Germany,01/01/2009 00:00
Adrian Leaper & Doreen de Feis,0.99,"Symphony No. 3 Op. 36 for Orchestra and Soprano ""Symfonia Piesni Zalosnych"" \ Lento E Largo - Tranquillissimo",Protected AAC audio file,USA,22/07/2011 00:00
Aerosmith,0.99,Amazing,MPEG audio file,USA,06/11/2012 00:00
Aerosmith,0.99,Angel,MPEG audio file,Belgium,03/01/2009 00:00
Aerosmith,0.99,Blind Man,MPEG audio file,United Kingdom,16/04/2010 00:00
Aerosmith,0.99,Deuces Are Wild,MPEG audio file,Belgium,03/01/2009 00:00
Aerosmith,0.99,Deuces Are Wild,MPEG audio file,Canada,25/07/2011 00:00
Aerosmith,0.99,Janie's Got A Gun,MPEG audio file,Belgium,03/01/2009 00:00
Aerosmith,0.99,Livin' On The Edge,MPEG audio file,United Kingdom,16/04/2010 00:00
Aerosmith,0.99,Love In An Elevator,MPEG audio file,Belgium,03/01/2009 00:00
Aerosmith,0.99,Rag Doll,MPEG audio file,United Kingdom,16/04/2010 00:00
Aerosmith,0.99,What It Takes,MPEG audio file,Canada,25/07/2011 00:00
Alanis Morissette,0.99,All I Really Want,MPEG audio file,Canada,25/07/2011 00:00
Alanis Morissette,0.99,Forgiven,MPEG audio file,United Kingdom,16/04/2010 00:00
Alanis Morissette,0.99,Not The Doctor,MPEG audio file,Canada,06/01/2009 00:00
Alanis Morissette,0.99,Not The Doctor,MPEG audio file,USA,06/11/2012 00:00
Alanis Morissette,0.99,Right Through You,MPEG audio file,Canada,06/01/2009 00:00
Alanis Morissette,0.99,Wake Up,MPEG audio file,United Kingdom,16/04/2010 00:00
Alanis Morissette,0.99,You Learn,MPEG audio file,Canada,25/07/2011 00:00
Alanis Morissette,0.99,You Oughta Know,MPEG audio file,USA,06/11/2012 00:00
Alice In Chains,0.99,Bleed The Freak,MPEG audio file,Canada,06/01/2009 00:00
Alice In Chains,0.99,Confusion,MPEG audio file,Canada,06/01/2009 00:00
Alice In Chains,0.99,I Can't Remember,MPEG audio file,United Kingdom,16/04/2010 00:00
Alice In Chains,0.99,I Know Somethin (Bout You),MPEG audio file,United Kingdom,16/04/2010 00:00
Alice In Chains,0.99,It Ain't Like That,MPEG audio file,USA,06/11/2012 00:00
Alice In Chains,0.99,Real Thing,MPEG audio file,France,30/07/2011 00:00
Alice In Chains,0.99,Sea Of Sorrow,MPEG audio file,France,30/07/2011 00:00
Amy Winehouse,0.99,Amy Amy Amy (Outro),Protected AAC audio file,USA,22/07/2011 00:00
Amy Winehouse,0.99,Back to Black,Protected AAC audio file,USA,20/07/2011 00:00
Amy Winehouse,0.99,F**k Me Pumps,Protected AAC audio file,USA,21/07/2011 00:00
Amy Winehouse,0.99,He Can Only Hold Her,Protected AAC audio file,USA,21/03/2010 00:00
Amy Winehouse,0.99,Help Yourself,Protected AAC audio file,Brazil,01/11/2012 00:00
Amy Winehouse,0.99,I Heard Love Is Blind,Protected AAC audio file,Austria,29/10/2012 00:00
Amy Winehouse,0.99,Intro / Stronger Than Me,Protected AAC audio file,USA,21/07/2011 00:00
Amy Winehouse,0.99,Just Friends,Protected AAC audio file,Austria,29/10/2012 00:00
Amy Winehouse,0.99,Me & Mr. Jones,Protected AAC audio file,USA,20/07/2011 00:00
Amy Winehouse,0.99,Rehab (Hot Chip Remix),Protected AAC audio file,Austria,29/10/2012 00:00
Amy Winehouse,0.99,Some Unholy War,Protected AAC audio file,USA,21/07/2011 00:00
Amy Winehouse,0.99,Take the Box,Protected AAC audio file,USA,22/07/2011 00:00
Amy Winehouse,0.99,Tears Dry On Their Own,Protected AAC audio file,USA,20/07/2011 00:00
Amy Winehouse,0.99,Wake Up Alone,Protected AAC audio file,Austria,29/10/2012 00:00
Amy Winehouse,0.99,You Know I'm No Good,Protected AAC audio file,USA,20/07/2011 00:00
Amy Winehouse,0.99,You Know I'm No Good (feat. Ghostface Killah),Protected AAC audio file,USA,21/07/2011 00:00
Antal Doráti & London Symphony Orchestra,0.99,"Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph",Protected AAC audio file,Canada,28/10/2012 00:00
Antônio Carlos Jobim,0.99,Abrir A Porta,MPEG audio file,USA,28/12/2012 00:00
Antônio Carlos Jobim,0.99,Angela,MPEG audio file,Canada,06/01/2009 00:00
Antônio Carlos Jobim,0.99,Bumbo Da Mangueira,MPEG audio file,Germany,11/02/2009 00:00
Antônio Carlos Jobim,0.99,Bumbo Da Mangueira,MPEG audio file,USA,29/12/2012 00:00
Antônio Carlos Jobim,0.99,"Canta, Canta Mais",MPEG audio file,Canada,21/04/2010 00:00
Antônio Carlos Jobim,0.99,Eu Vim Da Bahia - Live,MPEG audio file,USA,28/12/2012 00:00
Antônio Carlos Jobim,0.99,Falando De Amor,MPEG audio file,France,30/07/2011 00:00
Antônio Carlos Jobim,0.99,Ligia,MPEG audio file,United Kingdom,16/04/2010 00:00
Antônio Carlos Jobim,0.99,Linha Do Horizonte,MPEG audio file,USA,28/12/2012 00:00
Antônio Carlos Jobim,0.99,Momentos Que Marcam,MPEG audio file,USA,29/12/2012 00:00
Antônio Carlos Jobim,0.99,O Boto (Bôto),MPEG audio file,USA,06/11/2012 00:00
Antônio Carlos Jobim,0.99,Only A Dream In Rio,MPEG audio file,France,22/05/2010 00:00
Antônio Carlos Jobim,0.99,Por Causa De Você,MPEG audio file,Canada,06/01/2009 00:00
Antônio Carlos Jobim,0.99,Por Causa De Você,MPEG audio file,USA,06/11/2012 00:00
Antônio Carlos Jobim,0.99,Santo Antonio,MPEG audio file,USA,29/12/2012 00:00
Antônio Carlos Jobim,0.99,Só Tinha De Ser Com Você,MPEG audio file,France,22/05/2010 00:00
Antônio Carlos Jobim,0.99,Só Tinha De Ser Com Você,MPEG audio file,USA,29/12/2012 00:00
Antônio Carlos Jobim,0.99,Tanto Tempo,MPEG audio file,Germany,11/02/2009 00:00
Antônio Carlos Jobim,0.99,Tanto Tempo,MPEG audio file,USA,28/12/2012 00:00
Antônio Carlos Jobim,0.99,Tarde Em Itapoã,MPEG audio file,Canada,15/12/2012 00:00
Antônio Carlos Jobim,0.99,Tarde Em Itapoã,MPEG audio file,USA,30/08/2011 00:00
Antônio Carlos Jobim,0.99,Um Jantar Pra Dois,MPEG audio file,USA,30/08/2011 00:00
Apocalyptica,0.99,Master Of Puppets,MPEG audio file,Canada,06/01/2009 00:00
Apocalyptica,0.99,The Unforgiven,MPEG audio file,France,30/07/2011 00:00
Apocalyptica,0.99,Welcome Home (Sanitarium),MPEG audio file,Canada,06/01/2009 00:00
Apocalyptica,0.99,Welcome Home (Sanitarium),MPEG audio file,USA,06/11/2012 00:00
Audioslave,0.99,Cochise,MPEG audio file,Canada,21/04/2010 00:00
Audioslave,0.99,Dandelion,MPEG audio file,USA,11/01/2009 00:00
Audioslave,0.99,Doesn't Remind Me,MPEG audio file,USA,06/11/2012 00:00
Audioslave,0.99,Drown Me Slowly,MPEG audio file,Canada,21/04/2010 00:00
Audioslave,0.99,Exploder,MPEG audio file,USA,06/11/2012 00:00
Audioslave,0.99,Hypnotize,MPEG audio file,Canada,21/04/2010 00:00
Audioslave,0.99,Like a Stone,MPEG audio file,France,30/07/2011 00:00
Audioslave,0.99,Moth,Protected AAC audio file,France,06/10/2012 00:00
Audioslave,0.99,Set It Off,MPEG audio file,Canada,06/01/2009 00:00
Audioslave,0.99,Shape of Things to Come,Protected AAC audio file,Norway,29/06/2011 00:00
Audioslave,0.99,Show Me How to Live (Live at the Quart Festival),Protected AAC audio file,USA,21/03/2010 00:00
Audioslave,0.99,Sound of a Gun,Protected AAC audio file,France,06/10/2012 00:00
Audioslave,0.99,The Last Remaining Light,MPEG audio file,France,30/07/2011 00:00
Audioslave,0.99,Until We Fall,Protected AAC audio file,USA,21/03/2010 00:00
Audioslave,0.99,Yesterday To Tomorrow,MPEG audio file,France,30/07/2011 00:00
Audioslave,0.99,Your Time Has Come,MPEG audio file,USA,11/01/2009 00:00
BackBeat,0.99,C'Mon Everybody,MPEG audio file,France,30/07/2011 00:00
BackBeat,0.99,Carol,MPEG audio file,USA,06/11/2012 00:00
BackBeat,0.99,Good Golly Miss Molly,MPEG audio file,Canada,21/04/2010 00:00
BackBeat,0.99,Long Tall Sally,MPEG audio file,Canada,21/04/2010 00:00
BackBeat,0.99,Money,MPEG audio file,USA,06/11/2012 00:00
BackBeat,0.99,Rock 'N' Roll Music,MPEG audio file,USA,11/01/2009 00:00
Berliner Philharmoniker & Hans Rosbaud,0.99,"Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)",Protected AAC audio file,Brazil,27/10/2012 00:00
Berliner Philharmoniker & Herbert Von Karajan,0.99,"Peer Gynt Suite No.1, Op.46: 1. Morning Mood",Protected AAC audio file,Austria,29/10/2012 00:00
Berliner Philharmoniker & Herbert Von Karajan,0.99,"Symphony No. 41 in C Major, K. 551, ""Jupiter"": IV. Molto allegro",Protected AAC audio file,Austria,29/10/2012 00:00
Billy Cobham,0.99,Do what cha wanna,MPEG audio file,Canada,21/04/2010 00:00
Billy Cobham,0.99,Moon germs,MPEG audio file,USA,11/01/2009 00:00
Billy Cobham,0.99,Solo-Panhandler,MPEG audio file,USA,06/11/2012 00:00
Billy Cobham,0.99,"Spanish moss-""A sound portrait""-Spanish moss",MPEG audio file,France,30/07/2011 00:00
Black Label Society,0.99,A.N.D.R.O.T.A.Z.,MPEG audio file,Canada,21/04/2010 00:00
Black Label Society,0.99,All For You,MPEG audio file,France,30/07/2011 00:00
Black Label Society,0.99,Blood In The Wall,MPEG audio file,USA,06/11/2012 00:00
Black Label Society,0.99,Bored To Tears,MPEG audio file,USA,06/11/2012 00:00
Black Label Society,0.99,Heart Of Gold,MPEG audio file,USA,11/01/2009 00:00
Black Label Society,0.99,Super Terrorizer,MPEG audio file,USA,11/01/2009 00:00
Black Label Society,0.99,The Begining... At Last,MPEG audio file,France,30/07/2011 00:00
Black Label Society,0.99,The Beginning...At Last,MPEG audio file,Canada,21/04/2010 00:00
Black Sabbath,0.99,Cornucopia,MPEG audio file,Germany,27/11/2012 00:00
Black Sabbath,0.99,Cornucopia,MPEG audio file,USA,11/01/2009 00:00
Black Sabbath,0.99,Evil Woman,MPEG audio file,USA,11/01/2009 00:00
Black Sabbath,0.99,Laguna Sunrise,MPEG audio file,Germany,27/11/2012 00:00
Black Sabbath,0.99,N.I.B.,MPEG audio file,France,30/07/2011 00:00
Black Sabbath,0.99,Snowblind,MPEG audio file,France,30/07/2011 00:00
Black Sabbath,0.99,Snowblind,MPEG audio file,Germany,14/11/2012 00:00
Black Sabbath,0.99,Tomorrow's Dream,MPEG audio file,Canada,21/04/2010 00:00
Black Sabbath,0.99,Under The Sun/Every Day Comes and Goes,MPEG audio file,France,27/11/2012 00:00
Body Count,0.99,A Statistic,MPEG audio file,France,30/07/2011 00:00
Body Count,0.99,Body Count,MPEG audio file,France,28/11/2012 00:00
Body Count,0.99,Body Count Anthem,MPEG audio file,USA,11/01/2009 00:00
Body Count,0.99,Body Count's In The House,MPEG audio file,France,27/11/2012 00:00
Body Count,0.99,Bowels Of The Devil,MPEG audio file,France,28/11/2012 00:00
Body Count,0.99,Bowels Of The Devil,MPEG audio file,USA,11/01/2009 00:00
Body Count,0.99,Evil Dick,MPEG audio file,Hungary,29/11/2012 00:00
Body Count,0.99,KKK Bitch,MPEG audio file,France,28/11/2012 00:00
Body Count,0.99,Smoked Pork,MPEG audio file,Canada,21/04/2010 00:00
Body Count,0.99,Voodoo,MPEG audio file,Canada,21/04/2010 00:00
Body Count,0.99,Voodoo,MPEG audio file,France,28/11/2012 00:00
Bruce Dickinson,0.99,Book Of Thel,MPEG audio file,Hungary,29/11/2012 00:00
Bruce Dickinson,0.99,Chemical Wedding,MPEG audio file,Argentina,07/08/2011 00:00
Bruce Dickinson,0.99,Chemical Wedding,MPEG audio file,Canada,21/04/2010 00:00
Bruce Dickinson,0.99,Gates Of Urizen,MPEG audio file,India,20/08/2011 00:00
Bruce Dickinson,0.99,Jerusalem,MPEG audio file,USA,11/01/2009 00:00
Bruce Dickinson,0.99,Killing Floor,MPEG audio file,Chile,20/08/2011 00:00
Bruce Dickinson,0.99,King In Crimson,MPEG audio file,Hungary,29/11/2012 00:00
Bruce Dickinson,0.99,Machine Men,MPEG audio file,Hungary,29/11/2012 00:00
Bruce Dickinson,0.99,Realword,MPEG audio file,Canada,21/04/2010 00:00
Bruce Dickinson,0.99,The Alchemist,MPEG audio file,Germany,21/08/2011 00:00
Bruce Dickinson,0.99,The Tower,MPEG audio file,Chile,20/08/2011 00:00
Bruce Dickinson,0.99,Trupets Of Jericho,MPEG audio file,India,20/08/2011 00:00
Buddy Guy,0.99,First Time I Met The Blues,MPEG audio file,Germany,21/08/2011 00:00
Buddy Guy,0.99,Leave My Girl Alone,MPEG audio file,Hungary,29/11/2012 00:00
Buddy Guy,0.99,Let Me Love You Baby,MPEG audio file,Hungary,29/11/2012 00:00
Buddy Guy,0.99,My Time After Awhile,MPEG audio file,Czech Republic,22/08/2011 00:00
Buddy Guy,0.99,Stone Crazy,MPEG audio file,Germany,21/08/2011 00:00
Buddy Guy,0.99,When My Left Eye Jumps,MPEG audio file,Germany,21/08/2011 00:00
Buddy Guy,0.99,When My Left Eye Jumps,MPEG audio file,USA,11/01/2009 00:00
Caetano Veloso,0.99,Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,MPEG audio file,USA,13/05/2010 00:00
Caetano Veloso,0.99,Bem Devagar,MPEG audio file,Sweden,02/12/2012 00:00
