Antecedent,Consequence,Frequency,Support,Confidence,Lift
The X Factor,The Number of The Beast,11,0.491,1.0,2.48756218905473
Volume Dois,"Heroes, Season 1",11,0.491,0.917,1.57938754503345
Cafezinho,Are You Experienced?,10,0.446,1.667,4.66156611898491
Carnaval 2001,Axé Bahia 2001,10,0.446,1.667,6.20962352417019
Chill: Brazil (Disc 1),Axé Bahia 2001,10,0.446,1.429,5.31686614849077
Chill: Brazil (Disc 1),Carnaval 2001,10,0.446,1.429,5.31686614849077
Chill: Brazil (Disc 2),BBC Sessions [Disc 1] [Live],10,0.446,0.667,2.48384940966808
From The Muddy Banks Of The Wishkah [Live],Compositores,10,0.446,1.429,2.45675884102677
From The Muddy Banks Of The Wishkah [Live],Demorou...,10,0.446,1.429,5.31686614849077
In Your Honor [Disc 1],Deixa Entrar,10,0.446,2.0,5.60224089635854
In Your Honor [Disc 2],Deixa Entrar,10,0.446,1.667,4.66156611898491
Jagged Little Pill,Facelift,10,0.446,1.25,3.99137290699027
Jorge Ben Jor 25 Anos,Are You Experienced?,10,0.446,1.667,4.66156611898491
Jorge Ben Jor 25 Anos,Cafezinho,10,0.446,1.667,6.20962352417019
Live After Death,Fear Of The Dark,10,0.446,1.25,5.60224089635854
Live After Death,Killers,10,0.446,1.25,5.60224089635854
"Lost, Season 3",Achtung Baby,10,0.446,0.909,3.38936681156336
Lulu Santos - RCA 100 Anos De Música - Álbum 01,Greatest Hits,10,0.446,1.25,1.07605488362442
Lulu Santos - RCA 100 Anos De Música - Álbum 02,Barulhinho Bom,10,0.446,2.0,5.60224089635854
Mais Do Mesmo,Barulhinho Bom,10,0.446,1.25,3.49943899128279
Maquinarama,Californication,10,0.446,1.667,4.13974901611346
Minas,Milton Nascimento Ao Vivo,10,0.446,1.429,3.99137290699027
Misplaced Childhood,Barulhinho Bom,10,0.446,2.0,5.60224089635854
Misplaced Childhood,Lulu Santos - RCA 100 Anos De Música - Álbum 01,10,0.446,2.0,5.60224089635854
Motley Crue Greatest Hits,Demorou...,10,0.446,1.429,5.31686614849077
My Way: The Best Of Frank Sinatra [Disc 1],In Your Honor [Disc 2],10,0.446,1.0,3.73134328358209
Na Pista,Acústico MTV [Live],10,0.446,2.0,4.97512437810945
New Adventures In Hi-Fi,Green,10,0.446,0.714,1.99887955182073
Revelations,"LOST, Season 4",10,0.446,2.0,6.38977635782748
Riot Act,Greatest Hits,10,0.446,1.429,1.2273213848368
Riot Act,Live On Two Legs [Live],10,0.446,1.429,3.54457743232718
Roda De Funk,As Canções de Eu Tu Eles,10,0.446,1.25,5.60224089635854
Roda De Funk,Quanta Gente Veio Ver (Live),10,0.446,1.25,2.15396503428958
Rotten Apples: Greatest Hits,Judas 0: B-Sides and Rarities,10,0.446,0.769,1.56612121637755
St. Anger,Ride The Lightning,10,0.446,1.429,5.31686614849077
Tangents,My Generation - The Very Best Of The Who,10,0.446,1.0,1.17924528301887
The Beast Live,Live On Two Legs [Live],10,0.446,2.0,4.97512437810945
The Best Of Buddy Guy - The Millenium Collection,Chemical Wedding,10,0.446,1.429,2.65843307424539
The Best of Ed Motta,Sambas De Enredo 2001,10,0.446,1.667,6.20962352417019
The Essential Miles Davis [Disc 1],Supernatural,10,0.446,1.667,6.20962352417019
"The Office, Season 2",Greatest Hits,10,0.446,1.667,1.43340146811164
"The Office, Season 3",Ao Vivo [IMPORT],10,0.446,0.625,1.55385537299497
"The Office, Season 3","The Office, Season 2",10,0.446,0.625,2.33078305949245
The Police Greatest Hits,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",10,0.446,1.429,3.54457743232718
The Real Thing,Angel Dust,10,0.446,1.429,2.45675884102677
The Singles,Live [Disc 2],10,0.446,1.0,3.19488817891374
Unplugged [Live],Living After Midnight,10,0.446,0.909,2.03665987780041
Use Your Illusion II,Use Your Illusion I,10,0.446,1.0,1.31752305665349
Van Halen III,Ao Vivo [IMPORT],10,0.446,1.667,4.13974901611346
Van Halen III,"The Best Of Van Halen, Vol. I",10,0.446,1.667,3.73134328358209
Vinicius De Moraes,Greatest Hits,10,0.446,1.667,1.43340146811164
Voodoo Lounge,No Security,10,0.446,1.429,5.31686614849077
Warner 25 Anos,Facelift,10,0.446,1.429,4.55246047219018
Warner 25 Anos,Jagged Little Pill,10,0.446,1.429,3.99137290699027
A Real Dead One,A Matter of Life and Death,9,0.402,1.286,4.79233226837061
A Real Live One,A Real Dead One,9,0.402,1.8,5.75939483373687
Chemical Wedding,Body Count,9,0.402,0.75,1.52749490835031
Coda,BBC Sessions [Disc 2] [Live],9,0.402,1.5,3.36322869955157
Da Lama Ao Caos,Cidade Negra - Hits,9,0.402,1.0,3.19488817891374
From The Muddy Banks Of The Wishkah [Live],Ace Of Spades,9,0.402,1.286,4.79233226837061
Greatest Hits,Contraband,9,0.402,0.346,1.29198966408269
Jota Quest-1995,Get Born,9,0.402,1.5,4.79233226837061
"LOST, Season 4",House of Pain,9,0.402,1.286,3.59760517625581
Led Zeppelin II,Led Zeppelin I,9,0.402,1.0,2.48756218905473
Meus Momentos,International Superhits,9,0.402,1.0,1.24378109452736
Minas,Demorou...,9,0.402,1.286,4.79233226837061
Minas,Miles Ahead,9,0.402,1.286,4.10333881125662
Motley Crue Greatest Hits,Ace Of Spades,9,0.402,1.286,4.79233226837061
Motley Crue Greatest Hits,Compositores,9,0.402,1.286,2.2143880136609
Nevermind,From The Muddy Banks Of The Wishkah [Live],9,0.402,1.8,5.75939483373687
News Of The World,Greatest Hits I,9,0.402,0.75,1.52749490835031
One By One,Deixa Entrar,9,0.402,1.8,5.04955345366846
Os Cães Ladram Mas A Caravana Não Pára,Greatest Hits I,9,0.402,1.0,2.03665987780041
Pop,How To Dismantle An Atomic Bomb,9,0.402,0.9,2.0209535683404
Pop,"Lost, Season 2",9,0.402,0.9,1.55404360599969
ReLoad,Load,9,0.402,0.75,1.52749490835031
Seventh Son of a Seventh Son,Rock In Rio [CD2],9,0.402,1.0,2.80112044817927
Synkronized,Emergency On Planet Earth,9,0.402,1.286,4.79233226837061
The Beast Live,Original Soundtracks 1,9,0.402,1.8,4.48430493273543
"The Best Of Van Halen, Vol. I",Contraband,9,0.402,0.9,3.36322869955157
The Doors,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",9,0.402,2.25,5.58659217877095
The Real Thing,Deixa Entrar,9,0.402,1.286,3.59760517625581
The Return Of The Space Cowboy,Synkronized,9,0.402,1.8,5.75939483373687
Up An' Atom,Sambas De Enredo 2001,9,0.402,0.529,1.97628458498024
Up An' Atom,The Best of Ed Motta,9,0.402,0.529,1.97628458498024
Voodoo Lounge,"Hot Rocks, 1964-1971 (Disc 1)",9,0.402,1.286,5.75939483373687
Vozes do MPB,Vinícius De Moraes - Sem Limite,9,0.402,0.818,1.22199592668024
Vs.,Os Cães Ladram Mas A Caravana Não Pára,9,0.402,1.5,3.73134328358209
Zooropa,The Best Of 1980-1990,9,0.402,1.0,2.03665987780041
Afrociberdelia,Acústico MTV [Live],8,0.357,0.5,1.24378109452736
BBC Sessions [Disc 1] [Live],Axé Bahia 2001,8,0.357,1.333,4.97048340387614
BackBeat Soundtrack,Audioslave,8,0.357,1.333,4.97048340387614
Blue Moods,A Matter of Life and Death,8,0.357,0.889,3.31365560258409
Brave New World,A Real Dead One,8,0.357,1.333,4.25587716370226
Carnaval 2001,BBC Sessions [Disc 1] [Live],8,0.357,1.333,4.97048340387614
Chill: Brazil (Disc 2),Axé Bahia 2001,8,0.357,0.533,1.98819336155046
Chill: Brazil (Disc 2),Carnaval 2001,8,0.357,0.533,1.98819336155046
Cássia Eller - Sem Limite [Disc 1],Come Taste The Band,8,0.357,0.889,3.98233049996653
From The Muddy Banks Of The Wishkah [Live],Acústico MTV,8,0.357,1.143,1.41862572123408
In Through The Out Door,IV,8,0.357,1.0,3.73134328358209
Instant Karma: The Amnesty International Campaign to Save Darfur,20th Century Masters - The Millennium Collection: The Best of Scorpions,8,0.357,0.5,2.24215246636771
Jota Quest-1995,Cafezinho,8,0.357,1.333,4.97048340387614
Jota Quest-1995,Jorge Ben Jor 25 Anos,8,0.357,1.333,4.97048340387614
Judas 0: B-Sides and Rarities,Californication,8,0.357,0.727,1.80867556312126
"LOST, Season 4",Carry On,8,0.357,1.143,6.37192782051511
Led Zeppelin III,Led Zeppelin I,8,0.357,0.889,2.20910373505606
Live After Death,Brave New World,8,0.357,1.0,3.73134328358209
Live After Death,Dance Of Death,8,0.357,1.0,4.48430493273543
Live After Death,Iron Maiden,8,0.357,1.0,5.58659217877095
Live At Donington 1992 (Disc 1),Live After Death,8,0.357,2.0,5.58659217877095
"Lost, Season 2","Heroes, Season 1",8,0.357,0.615,1.06123662306778
Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos - RCA 100 Anos De Música - Álbum 01,8,0.357,1.6,4.48430493273543
Maquinarama,Greatest Hits,8,0.357,1.333,1.14736395541671
Maquinarama,Judas 0: B-Sides and Rarities,8,0.357,1.333,2.71301334468189
Miles Ahead,...And Justice For All,8,0.357,1.143,4.25587716370226
Milton Nascimento Ao Vivo,...And Justice For All,8,0.357,1.0,3.73134328358209
Milton Nascimento Ao Vivo,Ace Of Spades,8,0.357,1.0,3.73134328358209
Minas,Ace Of Spades,8,0.357,1.143,4.25587716370226
Minas,From The Muddy Banks Of The Wishkah [Live],8,0.357,1.143,3.6440098398473
Morning Dance,In Step,8,0.357,0.889,2.20910373505606
Motley Crue Greatest Hits,Minas,8,0.357,1.143,3.6440098398473
Na Pista,Cidade Negra - Hits,8,0.357,1.6,5.11468645682603
Nevermind,Demorou...,8,0.357,1.6,5.9734957499498
Nevermind,Motley Crue Greatest Hits,8,0.357,1.6,5.11468645682603
No Security,My Generation - The Very Best Of The Who,8,0.357,1.333,1.57086032103633
One By One,In Your Honor [Disc 2],8,0.357,1.6,5.9734957499498
Presence,Led Zeppelin III,8,0.357,1.6,3.98233049996653
"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]","Hot Rocks, 1964-1971 (Disc 1)",8,0.357,0.889,3.98233049996653
"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",No Security,8,0.357,0.889,3.31365560258409
Retrospective I (1974-1980),Greatest Hits,8,0.357,1.333,1.14736395541671
Retrospective I (1974-1980),Judas 0: B-Sides and Rarities,8,0.357,1.333,2.71301334468189
Riot Act,Pearl Jam,8,0.357,1.143,4.25587716370226
Roda De Funk,In Your Honor [Disc 2],8,0.357,1.0,3.73134328358209
Seek And Shall Find: More Of The Best (1963-1981),Misplaced Childhood,8,0.357,0.8,3.58945484526132
Somewhere in Time,Seventh Son of a Seventh Son,8,0.357,1.6,3.98233049996653
Sozinho Remix Ao Vivo,Minha Historia,8,0.357,4.0,3.32882651871882
Supernatural,Sambas De Enredo 2001,8,0.357,1.333,4.97048340387614
Synkronized,Are You Experienced?,8,0.357,1.143,3.19488817891374
Synkronized,Get Born,8,0.357,1.143,3.6440098398473
Synkronized,Sex Machine,8,0.357,1.143,2.12793858185113
Tangents,No Security,8,0.357,0.8,2.9867478749749
The Best Of R.E.M.: The IRS Years,Cesta Básica,8,0.357,0.471,1.50273396557603
"The Best Of Van Halen, Vol. I",Ao Vivo [IMPORT],8,0.357,0.8,1.99116524998327
The Best of Ed Motta,Supernatural,8,0.357,1.333,4.97048340387614
The Colour And The Shape,As Canções de Eu Tu Eles,8,0.357,1.333,5.9734957499498
The Essential Miles Davis [Disc 1],Sambas De Enredo 2001,8,0.357,1.333,4.97048340387614
The Essential Miles Davis [Disc 1],The Best of Ed Motta,8,0.357,1.333,4.97048340387614
The Police Greatest Hits,"Hot Rocks, 1964-1971 (Disc 1)",8,0.357,1.143,5.11468645682603
The Police Greatest Hits,My Generation - The Very Best Of The Who,8,0.357,1.143,1.34501778286817
The Police Greatest Hits,Tangents,8,0.357,1.143,2.55734322841301
UB40 The Best Of - Volume Two [UK],"The Best Of Van Halen, Vol. I",8,0.357,1.0,2.24215246636771
Unplugged [Live],Are You Experienced?,8,0.357,0.727,2.03665987780041
Unplugged [Live],BBC Sessions [Disc 2] [Live],8,0.357,0.727,1.63024120263396
Unplugged [Live],Cafezinho,8,0.357,0.727,2.71301334468189
Unplugged [Live],Jorge Ben Jor 25 Anos,8,0.357,0.727,2.71301334468189
Vault: Def Leppard's Greatest Hits,Djavan Ao Vivo - Vol. 02,8,0.357,1.143,2.83725144246817
Vault: Def Leppard's Greatest Hits,Djavan Ao Vivo - Vol. 1,8,0.357,1.143,2.83725144246817
Vault: Def Leppard's Greatest Hits,The Battle Rages On,8,0.357,1.143,5.11468645682603
Vinicius De Moraes,"The Office, Season 2",8,0.357,1.333,4.97048340387614
Voodoo Lounge,Tangents,8,0.357,1.143,2.55734322841301
Vs.,Greatest Hits,8,0.357,1.333,1.14736395541671
Vs.,Greatest Hits I,8,0.357,1.333,2.71301334468189
Vs.,Riot Act,8,0.357,1.333,4.25587716370226
Warner 25 Anos,Audioslave,8,0.357,1.143,4.25587716370226
Zooropa,Diver Down,8,0.357,0.889,2.83725144246817
A Real Live One,A Matter of Life and Death,7,0.313,1.4,5.23726658188876
Audioslave,Alcohol Fueled Brewtality Live! [Disc 1],7,0.313,1.167,5.23726658188876
BackBeat Soundtrack,Alcohol Fueled Brewtality Live! [Disc 1],7,0.313,1.167,5.23726658188876
Body Count,BackBeat Soundtrack,7,0.313,0.636,2.37863634981913
Brave New World,A Real Live One,7,0.313,1.167,5.23726658188876
Chill: Brazil (Disc 1),Bongo Fury,7,0.313,1.0,5.58659217877095
Cidade Negra - Hits,Chill: Brazil (Disc 1),7,0.313,1.0,3.19488817891374
Compositores,Ace Of Spades,7,0.313,0.538,2.01363870303654
Cássia Eller - Coleção Sem Limite [Disc 2],Come Taste The Band,7,0.313,0.583,2.61863329094438
Dance Of Death,Brave New World,7,0.313,1.4,5.23726658188876
Demorou...,Ace Of Spades,7,0.313,1.167,4.35787480507908
Elis Regina-Minha História,Djavan Ao Vivo - Vol. 1,7,0.313,0.538,1.34242580202436
Facelift,Audioslave,7,0.313,1.0,3.73134328358209
Facelift,Big Ones,7,0.313,1.0,2.24215246636771
Frank,Back to Black,7,0.313,1.167,2.17893740253954
Living After Midnight,Are You Experienced?,7,0.313,0.7,1.96580874502267
"Lost, Season 1",How To Dismantle An Atomic Bomb,7,0.313,0.7,1.57352852460335
Lulu Santos - RCA 100 Anos De Música - Álbum 01,A TempestadeTempestade Ou O Livro Dos Dias,7,0.313,0.875,2.18097189124406
Master Of Puppets,Load,7,0.313,0.7,1.42931511603481
Minha História,MK III The Final Concerts [Disc 1],7,0.313,0.875,4.89804860491683
Motley Crue Greatest Hits,Acústico MTV,7,0.313,1.0,1.24378109452736
My Generation - The Very Best Of The Who,"Hot Rocks, 1964-1971 (Disc 1)",7,0.313,0.368,1.65517387257805
My Way: The Best Of Frank Sinatra [Disc 1],Deixa Entrar,7,0.313,0.7,1.96580874502267
Nevermind,Minas,7,0.313,1.4,4.48430493273543
No Security,"Hot Rocks, 1964-1971 (Disc 1)",7,0.313,1.167,5.23726658188876
Olodum,Compositores,7,0.313,0.7,1.20998917581568
One By One,My Way: The Best Of Frank Sinatra [Disc 1],7,0.313,1.4,3.1470570492067
Out Of Exile,BackBeat Soundtrack,7,0.313,1.4,5.23726658188876
Out Of Exile,Body Count,7,0.313,1.4,2.85863023206963
Out Of Time,Green,7,0.313,0.778,2.18097189124406
Out Of Time,New Adventures In Hi-Fi,7,0.313,0.778,1.24577114427861
Physical Graffiti [Disc 2],Led Zeppelin III,7,0.313,1.4,3.49151105459251
Plays Metallica By Four Cellos,Facelift,7,0.313,1.75,5.58659217877095
Presence,Physical Graffiti [Disc 2],7,0.313,1.4,6.2941140984134
Retrospective I (1974-1980),Blood Sugar Sex Magik,7,0.313,1.167,2.61863329094438
Retrospective I (1974-1980),Maquinarama,7,0.313,1.167,4.35787480507908
Riot Act,Greatest Hits I,7,0.313,1.0,2.03665987780041
Rotten Apples: Greatest Hits,Maquinarama,7,0.313,0.538,2.01363870303654
Sambas De Enredo 2001,Minha História,7,0.313,1.167,3.27145783686609
St. Anger,...And Justice For All,7,0.313,1.0,3.73134328358209
St. Anger,ReLoad,7,0.313,1.0,1.86567164179104
Surfing with the Alien (Remastered),Are You Experienced?,7,0.313,1.75,4.89804860491683
Tangents,"Hot Rocks, 1964-1971 (Disc 1)",7,0.313,0.7,3.1470570492067
Temple of the Dog,"LOST, Season 4",7,0.313,1.75,5.58659217877095
Temple of the Dog,Revelations,7,0.313,1.75,7.84127063657088
The Beast Live,Pearl Jam,7,0.313,1.4,5.23726658188876
The Best Of Buddy Guy - The Millenium Collection,Prenda Minha,7,0.313,1.0,1.17924528301887
The Best Of Men At Work,Seek And Shall Find: More Of The Best (1963-1981),7,0.313,0.875,1.96580874502267
The Best of Ed Motta,Minha História,7,0.313,1.167,3.27145783686609
"The Office, Season 2",Contraband,7,0.313,1.167,4.35787480507908
The Return Of The Space Cowboy,Emergency On Planet Earth,7,0.313,1.4,5.23726658188876
The Return Of The Space Cowboy,Get Born,7,0.313,1.4,4.48430493273543
Tribute,Original Soundtracks 1,7,0.313,0.7,1.74575552729625
Unplugged [Live],Jota Quest-1995,7,0.313,0.636,2.37863634981913
Up An' Atom,The Essential Miles Davis [Disc 2],7,0.313,0.412,2.3038252331427
Use Your Illusion II,A Matter of Life and Death,7,0.313,0.7,2.61863329094438
Use Your Illusion II,Appetite for Destruction,7,0.313,0.7,1.74575552729625
Van Halen III,Contraband,7,0.313,1.167,4.35787480507908
Van Halen III,Van Halen,7,0.313,1.167,4.35787480507908
Vault: Def Leppard's Greatest Hits,Outbreak,7,0.313,1.0,5.58659217877095
Vault: Def Leppard's Greatest Hits,Purpendicular,7,0.313,1.0,4.48430493273543
Vault: Def Leppard's Greatest Hits,Slaves And Masters,7,0.313,1.0,5.58659217877095
Vault: Def Leppard's Greatest Hits,Stormbringer,7,0.313,1.0,5.58659217877095
Vinicius De Moraes,Contraband,7,0.313,1.167,4.35787480507908
Vinicius De Moraes,Van Halen III,7,0.313,1.167,4.35787480507908
Voodoo Lounge,My Generation - The Very Best Of The Who,7,0.313,1.0,1.17924528301887
Vs.,Live On Two Legs [Live],7,0.313,1.167,2.90524987005272
Warner 25 Anos,BackBeat Soundtrack,7,0.313,1.0,3.73134328358209
Warner 25 Anos,Plays Metallica By Four Cellos,7,0.313,1.0,5.58659217877095
[1997] Black Light Syndrome,Live [Disc 1],7,0.313,1.4,4.48430493273543
